PLAYER_ID,PLAYER,START_SEASON,PICK_NUMBER_x,1-4,5-8,9-12,13-18,19-30,31-60,Undrafted
x1,,,,0.000374318,4.77E-09,9.11E-07,1.23E-05,0.007326026,0.09215631,0.90013015
x2,,,,0.043357,0.000125548,0.001096885,0.008390009,0.5705949,0.36184523,0.014590385
x3,,,,2.83E-06,1.27E-09,3.24E-07,8.57E-06,0.00143087,0.077037275,0.9215201
x4,,,,1.19E-07,5.00E-11,5.39E-06,8.05E-06,0.000523595,0.0238984,0.9755644
x5,,,,8.08E-06,1.34E-10,3.58E-05,1.59E-06,0.004635376,0.0658467,0.9294724
x6,,,,0.002892286,1.14E-05,0.001030503,0.001270219,0.0681582,0.32790226,0.5987351
x7,,,,0.001113471,0.000112505,0.000210624,0.023509866,0.057527784,0.32734904,0.59017676
x8,,,,2.52E-05,1.19E-10,3.04E-07,1.86E-06,0.002072068,0.021299452,0.9766011
x9,,,,0.000153241,1.30E-07,0.000129704,0.000135077,0.025989654,0.29052082,0.68307143
x10,,,,0.044834137,2.92E-05,0.000440856,0.001670698,0.5504849,0.33367124,0.06886896
x11,,,,0.003034032,2.83E-08,4.10E-06,4.14E-05,0.036656324,0.43722385,0.52304024
x12,,,,0.000446124,9.67E-07,0.000176705,0.001592254,0.024433842,0.32359412,0.64975595
x13,,,,0.047905896,0.000135829,0.000113692,0.005812027,0.067675374,0.57652414,0.30183303
x14,,,,0.000316166,9.25E-07,0.00025017,0.00073049,0.029775318,0.23913422,0.7297927
x15,,,,0.002205614,8.97E-08,3.42E-06,0.000235221,0.051896706,0.3216761,0.6239828
x16,,,,2.63E-06,1.19E-09,1.09E-05,7.27E-05,0.003144938,0.037889544,0.9588793
x17,,,,7.50E-06,4.96E-10,7.51E-06,1.40E-05,0.005385703,0.046630185,0.9479552
x18,,,,1.76E-05,2.94E-08,0.000146635,0.000194146,0.008388449,0.06519136,0.9260618
x19,,,,7.60E-07,7.34E-07,0.001530669,0.010068532,0.044782896,0.08003888,0.8635775
x20,,,,7.08E-05,4.35E-06,0.001597068,0.010820163,0.06864589,0.17879161,0.74007016
x21,,,,5.01E-07,1.30E-07,0.003228106,0.002164563,0.020009225,0.101090424,0.8735071
x22,,,,3.97E-06,1.49E-05,0.033359233,0.011355856,0.077866726,0.31279474,0.56460464
x23,,,,0.003304188,2.43E-06,3.03E-06,0.008996623,0.11271972,0.36822954,0.5067444
x24,,,,0.000886676,0.000555328,6.68E-05,0.20365879,0.4714091,0.30213442,0.021288928
x25,,,,0.011357157,7.26E-07,0.000385379,0.000163704,0.19666114,0.5192805,0.27215138
x26,,,,3.08E-09,1.09E-13,7.05E-07,7.35E-06,0.000410565,0.001212555,0.9983688
x27,,,,1.53E-05,3.65E-12,5.37E-09,2.25E-07,0.001114451,0.01712613,0.98174393
x28,,,,9.49E-07,3.72E-09,1.08E-05,0.000324866,0.005293548,0.018213281,0.97615665
x29,,,,0.000251887,2.14E-07,5.21E-05,0.000138216,0.009678455,0.20218164,0.78769755
x30,,,,0.000361216,0.002355339,0.011396894,0.07571755,0.15408388,0.63782924,0.11825582
x31,,,,1.14E-05,8.96E-09,6.41E-05,6.05E-05,0.006226626,0.102400444,0.89123684
x32,,,,0.00022468,7.42E-10,8.24E-08,5.59E-06,0.005049746,0.054223422,0.9404964
x33,,,,3.29E-06,7.70E-10,1.12E-06,2.13E-05,0.001764878,0.028079756,0.9701296
x34,,,,0.00839741,1.22E-05,0.000366639,0.002717896,0.12751864,0.5990268,0.26196048
x35,,,,0.000104207,4.71E-06,4.03E-05,0.05190669,0.041688323,0.17681415,0.7294416
x36,,,,0.004730909,3.55E-06,0.000139866,0.000528548,0.038967453,0.24220382,0.7134258
x37,,,,2.68E-09,2.83E-12,1.73E-06,1.58E-06,0.000335734,0.010272637,0.98938835
x38,,,,0.024315767,7.41E-05,4.07E-05,0.005967684,0.060713623,0.65723395,0.25165415
x39,,,,5.04E-07,2.97E-10,4.83E-06,3.81E-05,0.000967128,0.016744692,0.9822448
x40,,,,0.004726778,0.000186301,0.002026548,0.018462539,0.6015947,0.3312266,0.04177654
x41,,,,4.54E-05,8.97E-10,4.72E-05,1.06E-05,0.009821241,0.061697565,0.928378
x42,,,,0.000305886,9.62E-07,3.96E-05,0.001211088,0.025021587,0.19168715,0.7817338
x43,,,,0.000138633,2.71E-08,4.76E-05,0.000226671,0.025047923,0.065945916,0.90859324
x44,,,,2.06E-07,4.23E-09,0.00011274,0.000257703,0.00784776,0.061356783,0.93042475
x45,,,,0.001365321,9.03E-05,0.009854426,0.013254748,0.23876694,0.40879267,0.32787558
x46,,,,6.54E-07,5.31E-05,0.014964857,0.14047016,0.33731434,0.3396498,0.16754715
x47,,,,0.00013444,7.55E-08,0.000109577,0.000407096,0.05727453,0.073586084,0.86848813
x48,,,,0.05612016,0.000287544,2.08E-06,0.08281978,0.296268,0.5157501,0.048752297
x49,,,,0.001453481,0.002063602,0.009494117,0.089292556,0.61375725,0.25835988,0.025579114
x50,,,,0.000427943,1.11E-05,4.67E-05,0.013528485,0.110329494,0.63055825,0.24509804
